Membership No  Date Joined  Active  
    38767      2019-10-6    no    
    39322      2019-10-25   no    
    94779      2019-8-5     no    
    92978      2015-10-2    no    
    80257      2020-8-21    no    
    47053      2015-4-7     no    
    65290      2018-6-19    no    
    64451      2019-11-20   no    
    95130      2017-4-22    no    
    13209      2018-3-25    no    
    42011      2016-7-11    no    
    75515      2018-12-24   no    
    11160      2016-2-24    no    
    50943      2018-10-3    no    
    45108      2018-1-14    no    
