Membership No  Date Joined  Active  
    82231      2016-12-5    no    
    92262      2019-2-2     no    
    75711      2017-7-15    no    
    82724      2017-7-3     no    
    36410      2016-8-18    no    
    64459      2020-4-14    no    
    48520      2015-12-2    no    
    32236      2018-5-4     no    
    80598      2020-8-24    no    
    62551      2019-1-25    no    
    59289      2020-8-13    no    
    94822      2018-12-14   no    
    28351      2020-2-8     no    
    12223      2018-12-8    no    
    22768      2015-12-4    no    
    69785      2018-3-7     no    
